sa2_code21,sa2_name,earners,median_age,median_income,mean_income
102021044,Bateau Bay - Killarney Vale,11815,42,51828,60638
102021045,Blue Haven - San Remo,5721,38,50990,54661
102021046,Budgewoi - Buff Point - Halekulani,4713,44,50321,57528
102021047,Chittaway Bay - Tumbi Umbi,9122,43,53569,61875
102021048,Gorokan - Kanwal - Charmhaven,10544,42,48629,53532
102021049,Jilliby - Yarramalong,2184,47,54519,71160
102021050,Lake Munmorah - Mannering Park,4992,45,49683,56216
102021051,Ourimbah - Fountaindale,3030,45,56422,69431
102021052,Summerland Point - Gwandalan,3368,45,51708,58378
102021053,The Entrance,10119,46,52690,60794
102021054,Toukley - Norah Head,4794,44,48980,58350
102021055,Tuggerah - Kangy Angy,3102,42,52805,61663
102021056,Warnervale - Wadalba,10499,40,56644,64934
102021057,Wyong,4368,42,48653,54902
103011059,Bathurst - East,6739,42,58021,65994
103011060,Bathurst Surrounds,4195,49,52135,60527
103011061,Oberon,2602,48,51100,55982
103011612,Bathurst - South,5185,40,51703,61134
103011613,Bathurst - West,8149,42,59011,67564
103021062,Condobolin,3458,45,45614,50599
103021063,Cowra,4833,46,45543,51295
103021064,Cowra Surrounds,2860,48,44174,50150
103021065,Forbes,5465,45,49843,57679
103021066,Grenfell,1813,50,42387,47797
103021067,Parkes (NSW),5849,43,52706,61284
103021068,Parkes Surrounds,1742,48,42447,50332
103021069,West Wyalong,3162,46,48934,59334
103031070,Lithgow,5762,45,51099,62492
103031071,Lithgow Surrounds,4477,48,51380,61275
103031072,Mudgee,7115,42,54931,70273
103031073,Mudgee Surrounds - East,1467,51,40359,50418
103031074,Mudgee Surrounds - West,5858,47,47009,57749
103031075,Wollangambe - Wollemi,np,np,np,np
103041076,Blayney,4176,47,54164,62548
103041077,Orange,10062,42,54340,65669
103041078,Orange - North,12945,40,61130,72064
103041079,Orange Surrounds,6885,47,53720,67920
104011080,Grafton,9124,44,46795,52567
104011081,Grafton Surrounds,8168,50,42239,48570
104011082,Maclean - Yamba - Iluka,8798,51,40758,50098
104021083,Bellingen,3368,49,42073,53066
104021084,Coffs Harbour - North,9855,43,46099,55007
104021085,Coffs Harbour - South,5709,44,46463,55959
104021086,Coramba - Nana Glen - Bucca,2398,47,47372,55052
104021087,Dorrigo,1692,52,34172,42148
104021088,Korora - Emerald Beach,6396,46,51934,67600
104021089,Sawtell - Boambee,11168,46,48006,56372
104021090,Urunga,2566,50,45000,52894
104021091,Woolgoolga - Arrawarra,8375,43,42419,50317
105011092,Bourke - Brewarrina,1747,42,55163,59254
105011093,Cobar,2241,41,59867,70531
105011094,Coonamble,1950,45,48600,62372
105011095,Nyngan - Warren,2752,46,50760,57316
105011096,Walgett - Lightning Ridge,2627,45,45923,50681
105021097,Broken Hill,8459,44,56376,63987
105021098,Far West,890,48,46802,56645
105031099,Coonabarabran,3675,48,41133,47739
105031100,Dubbo - East,6005,40,56311,64049
105031101,Dubbo - South,11227,38,58717,65067
105031102,Dubbo - West,5519,39,56534,66479
105031103,Dubbo Surrounds,3521,45,53698,63815
105031104,Gilgandra,2199,47,44778,49142
105031105,Narromine,3486,45,47769,53384
105031106,Wellington,3993,46,46564,50563
106011107,Branxton - Greta - Pokolbin,7418,41,60103,73859
106011108,Cessnock,10397,40,50301,58025
106011109,Cessnock Surrounds,5015,45,52401,65344
106011110,Dungog,5292,47,49426,60104
106011111,Kurri Kurri - Abermain,10253,38,54005,58885
106011112,Singleton,9298,40,59652,75969
106011113,Singleton Surrounds,3098,46,54145,69493
106021114,Maitland,4654,38,59084,67368
106021116,Maitland - North,5181,44,61840,77839
106021614,East Maitland - Metford,10183,42,56212,66136
106021615,Rutherford (North) - Aberglasslyn,9542,39,58357,68709
106021616,Rutherford (South) - Telarah,4057,37,53758,60001
106021617,Tenambit - East Maitland,5438,43,54838,63717
106021618,Thornton - Millers Forest,9190,38,61955,69714
106031119,Anna Bay,3537,49,45380,56444
106031120,Lemon Tree Passage - Tanilba Bay,3266,48,45554,52598
106031121,Nelson Bay Peninsula,12326,51,43450,57364
106031122,Raymond Terrace,7118,42,50224,54823
106031123,Seaham - Woodville,3542,47,56337,71159
106031124,Tea Gardens - Hawks Nest,2802,60,32901,48311
106031125,Williamtown - Medowie - Karuah,8299,44,54881,64019
106041126,Muswellbrook,6370,40,58292,72322
106041127,Muswellbrook Surrounds,2182,45,54253,66277
106041128,Scone,3584,42,55239,88302
106041129,Scone Surrounds,4445,45,50081,59434
107011131,Dapto - Avondale,12705,43,52826,60058
107011132,Horsley - Kembla Grange,6794,40,61445,70629
107011133,Port Kembla Industrial,np,np,np,np
107011134,Unanderra - Mount Kembla,8619,44,58310,70056
107011545,Berkeley - Lake Heights - Cringila,6587,40,49608,55876
107011546,Port Kembla - Warrawong,4438,41,49533,58142
107011547,Windang - Primbee,2103,46,51241,62082
107021135,Illawarra Catchment Reserve,np,np,np,np
107031136,Albion Park - Macquarie Pass,10859,39,59588,66510
107031137,Albion Park Rail,3667,41,51814,57661
107031138,Kiama,5026,51,50118,68884
107031139,Kiama Downs - Minnamurra,3633,47,56253,70245
107031140,Kiama Hinterland - Gerringong,4935,49,52747,73537
107031141,Shellharbour - Flinders,11286,43,58635,71710
107031142,Shellharbour - Oak Flats,5789,43,53274,62320
107031143,Warilla,9820,42,50166,57457
107041144,Balgownie - Fairy Meadow,12073,43,54312,69979
107041145,Corrimal - Tarrawanna - Bellambi,8652,42,56168,64923
107041146,Figtree - Keiraville,12988,42,54735,68324
107041147,Helensburgh,5570,44,62188,76711
107041148,Thirroul - Austinmer - Coalcliff,7482,47,64328,88897
107041150,Woonona - Bulli - Russell Vale,11851,44,61662,77367
107041548,Wollongong - East,9695,37,52963,68341
107041549,Wollongong - West,9516,36,51776,64880
108011151,Bulahdelah - Stroud,2572,49,42515,50171
108011152,Forster,7325,51,41021,51517
108011153,Forster-Tuncurry Surrounds,3493,51,40035,51531
108011154,Tuncurry,2796,52,36934,48662
108021155,Kempsey,6387,44,44917,49447
108021156,Kempsey Surrounds,4842,50,38782,46248
108021157,Macksville - Scotts Head,2542,49,39687,48845
108021158,Nambucca Heads,2932,50,39243,45835
108021159,Nambucca Heads Surrounds,4242,49,37996,45394
108021160,South West Rocks,2696,52,40170,49985
108031161,Lord Howe Island,np,np,np,np
108041162,Laurieton - Bonny Hills,9396,52,40848,49424
108041164,Port Macquarie - West,10634,45,46580,55701
108041165,Port Macquarie Surrounds,3142,50,40045,46972
108041166,Wauchope,6622,46,46612,56837
108041619,Port Macquarie - East,6942,47,49141,66440
108041620,Port Macquarie - South,9445,48,48947,60516
108051167,Gloucester,2614,53,38503,46107
108051168,Old Bar - Manning Point - Red Head,6490,50,45477,55406
108051169,Taree,9266,45,44728,50779
108051170,Taree Surrounds,6542,52,38614,45928
108051171,Wingham,2583,47,45143,50437
109011172,Albury - East,10481,41,58221,67545
109011173,Albury - North,5697,43,51386,56574
109011174,Albury - South,6546,47,54882,70312
109011175,Albury Surrounds,7187,48,50960,59845
109011176,Lavington,8023,41,47744,52025
109021177,Hay,1682,48,49331,52197
109021178,Wentworth - Buronga,3534,45,48490,59301
109021179,Wentworth-Balranald Region,1997,44,46991,50751
109031180,Corowa,3211,50,46782,52451
109031181,Corowa Surrounds,4121,48,46823,52055
109031182,Deniliquin,4341,48,49152,52782
109031183,Deniliquin Surrounds,3526,49,40113,42077
109031184,Moama,3763,47,50336,60222
109031185,Tocumwal - Finley - Jerilderie,5456,49,43786,49770
110011186,Armidale,12788,42,50110,60239
110011187,Armidale Surrounds - North,2382,47,43060,49925
110011188,Armidale Surrounds - South,3286,49,48113,54968
110011189,Walcha,1881,50,43891,53706
110021190,Glen Innes,4222,49,40141,45784
110021191,Inverell,6034,43,49073,53529
110021192,Inverell Surrounds - East,2354,48,40336,42664
110021193,Inverell Surrounds - West,2829,49,38151,40981
110021194,Tenterfield,3206,53,34177,40359
110031195,Moree,4224,43,55375,63548
110031196,Moree Surrounds,2654,44,48009,53313
110031197,Narrabri,3987,43,54016,62862
110031198,Narrabri Surrounds,2507,45,49247,55597
110041199,Gunnedah,5095,40,57499,69123
110041200,Gunnedah Surrounds,2377,46,49129,56499
110041201,Quirindi,3883,48,45969,51413
110041202,Tamworth - East,11497,42,52824,58424
110041203,Tamworth - North,9100,41,56474,65789
110041204,Tamworth - West,2991,37,49508,50063
110041205,Tamworth Surrounds,10848,46,49619,56134
111011206,Belmont - Bennetts Green,10029,45,54864,68024
111011207,Belmont South - Blacksmiths,3016,47,51289,61403
111011208,Charlestown - Dudley,14598,41,59433,70445
111011209,Glendale - Cardiff - Hillsborough,13955,41,58540,66574
111011210,Mount Hutton - Windale,4340,42,51700,57884
111011211,Redhead,2065,47,58589,82074
111011212,Swansea - Caves Beach,6594,47,53463,66346
111011213,Valentine - Eleebana,7761,47,60116,77266
111011214,Warners Bay - Boolaroo,8615,46,57259,71250
111021215,Bolton Point - Teralba,5262,43,53733,60352
111021216,Bonnells Bay - Silverwater,5254,46,51049,60190
111021217,Edgeworth - Cameron Park,8949,39,59762,67339
111021218,Morisset - Cooranbong,9125,44,49828,57966
111021219,Toronto - Awaba,7405,48,50282,64789
111021220,Wangi Wangi - Rathmines,5370,48,51541,64252
111021221,West Wallsend - Barnsley - Killingworth,4095,40,56011,61474
111031222,Adamstown - Kotara,9926,42,60708,72292
111031223,Beresfield - Hexham,4269,41,51449,55966
111031224,Hamilton - Broadmeadow,7500,41,59609,76125
111031225,Lambton - New Lambton,10435,44,61939,77518
111031226,Maryland - Fletcher - Minmi,9436,40,59964,68079
111031227,Mayfield - Warabrook,8618,38,57717,63837
111031228,Merewether - The Junction,9457,44,67047,99231
111031229,Newcastle - Cooks Hill,8690,40,65863,95226
111031230,Newcastle Port - Kooragang,16,41,49743,59985
111031231,Shortland - Jesmond,5908,32,43122,49164
111031232,Stockton - Fullerton Cove,4486,46,56909,67163
111031233,Wallsend - Elermore Vale,11187,40,54917,62157
111031234,Waratah - North Lambton,7046,37,56305,63260
111031235,Wickham - Carrington - Tighes Hill,5785,38,61723,72062
112011236,Ballina,9955,49,45015,53613
112011237,Ballina Surrounds,10817,48,47400,59391
112011238,Bangalow,4519,45,45982,81433
112011239,Brunswick Heads - Ocean Shores,5464,45,42863,54255
112011240,Byron Bay,7540,40,44220,67672
112011241,Evans Head,2788,48,45024,52138
112011242,Lennox Head - Skennars Head,6070,46,52650,72302
112011243,Mullumbimby,5408,47,35610,52573
112021244,Casino,5813,43,46577,48266
112021245,Casino Surrounds,3701,48,41505,45295
112021246,Goonellabah,7202,43,50825,56532
112021247,Kyogle,3717,50,38577,45272
112021248,Lismore,7696,43,47581,52033
112021249,Lismore Surrounds,9162,49,44670,55591
112031250,Kingscliff - Fingal Head,8493,47,50143,69798
112031251,Murwillumbah,4758,46,43963,48764
112031252,Murwillumbah Surrounds,5675,50,40491,50575
112031253,Pottsville,7899,45,46184,57646
112031254,Tweed Heads,10973,46,44706,54919
112031550,Banora Point,8831,47,46498,56212
112031551,Terranora - North Tumbulgum,2065,46,50211,64827
112031552,Tweed Heads South,3825,46,43272,48773
113011256,Griffith (NSW),13132,40,53843,59051
113011257,Griffith Surrounds,8041,44,50645,52454
113011258,Leeton,5795,43,51158,56282
113011259,Narrandera,3185,47,47796,52336
113021260,Tumbarumba,1976,49,50142,57334
113021261,Tumut,3444,43,54107,61338
113021262,Tumut Surrounds,2621,49,49875,60224
113031263,Cootamundra,3760,48,48805,57176
113031264,Gundagai,2112,45,48152,56040
113031265,Junee,3079,44,53000,58387
113031266,Temora,3713,49,45802,51683
113031267,Wagga Wagga - East,10243,43,56102,68107
113031268,Wagga Wagga - North,3126,37,60484,66966
113031269,Wagga Wagga - South,12594,41,57134,64817
113031270,Wagga Wagga - West,6863,40,54092,65492
113031271,Wagga Wagga Surrounds,9656,43,55413,63743
114011272,Berry - Kangaroo Valley,5156,54,47497,67552
114011273,Callala Bay - Currarong,1901,51,48097,57749
114011274,Culburra Beach,2624,50,48014,56421
114011275,Ettrema - Sassafras - Budawang,27,60,39712,26279
114011276,Huskisson - Vincentia,2910,51,50774,67740
114011277,North Nowra - Bomaderry,8561,45,50058,59857
114011278,Nowra,10399,40,50537,57692
114011279,St Georges Basin - Erowal Bay,7048,46,45206,51313
114011280,Sussex Inlet - Berrara,2048,52,40528,48088
114011281,Tomerong - Wandandian - Woollamia,2139,48,50361,58916
114011282,Ulladulla,8924,49,42188,52652
114011283,Ulladulla Surrounds,3058,52,39808,51245
114021284,Bowral,8187,55,47827,79085
114021285,Hill Top - Colo Vale,3792,42,55690,62938
114021286,Mittagong,6351,46,51755,72707
114021287,Moss Vale - Berrima,5967,47,51438,68258
114021288,Robertson - Fitzroy Falls,2302,52,52225,80086
114021289,Southern Highlands,4275,53,44970,64269
115011290,Baulkham Hills - East,14414,43,63900,76499
115011291,Baulkham Hills (West) - Bella Vista,13975,45,62992,84440
115011294,Glenhaven,4092,51,61325,111371
115011296,West Pennant Hills,8643,48,61915,97320
115011553,Castle Hill - Central,4607,44,60000,77405
115011554,Castle Hill - East,3155,51,52504,81107
115011555,Castle Hill - North,7688,47,59169,87186
115011556,Castle Hill - South,6409,44,61822,83050
115011557,Castle Hill - West,3417,46,67129,88425
115011558,Cherrybrook,12182,47,60765,81260
115011621,Kellyville - East,10928,44,65240,81383
115011622,Kellyville - West,6529,41,68909,86547
115021297,Dural - Kenthurst - Wisemans Ferry,14237,48,58477,93469
115021298,Galston - Laughtondale,3433,50,55146,83525
115031299,Bilpin - Colo - St Albans,1579,49,48994,63255
115031300,Kurrajong Heights - Ebenezer,13821,45,58312,72379
115041301,Pitt Town - McGraths Hill,6921,44,59933,74975
115041623,Box Hill - Nelson,5611,38,73844,81443
115041624,North Kellyville,9395,39,72312,87460
115041625,Rouse Hill - Beaumont Hills,10840,43,67138,83044
116011303,Blacktown (East) - Kings Park,9847,36,52189,58649
116011304,Blacktown (North) - Marayong,11035,37,54079,59716
116011306,Doonside - Woodcroft,13206,40,56875,61909
116011307,Lalor Park - Kings Langley,14033,41,57913,66189
116011560,Blacktown - South,7007,39,53264,57978
116011561,Blacktown - West,9400,38,53801,57819
116011626,Seven Hills - Prospect,8745,40,57246,63376
116011627,Toongabbie - West,6490,38,58161,65049
116021309,Glenwood,9816,42,64468,76351
116021562,Acacia Gardens,2307,40,65756,73401
116021563,Quakers Hill,14636,39,62355,69367
116021628,Kellyville Ridge - The Ponds,12131,41,72927,83141
116021629,Marsden Park - Shanes Park,8036,36,68946,75388
116021630,Riverstone,7478,37,63563,70612
116021631,Schofields (West) - Colebee,5792,37,72740,79679
116021632,Schofields - East,13319,37,69616,78203
116021633,Stanhope Gardens - Parklea,6958,41,69908,79380
116031313,Bidwill - Hebersham - Emerton,7843,37,49638,51147
116031314,Glendenning - Dean Park,4679,39,58507,61316
116031315,Hassall Grove - Plumpton,12253,40,58139,61150
116031316,Lethbridge Park - Tregear,9634,37,53856,56693
116031317,Mount Druitt - Whalan,10733,38,49935,53125
116031318,Prospect Reservoir,52,47,116473,205935
116031319,Rooty Hill - Minchinbury,12581,40,56943,60899
117011320,Banksmeadow,270,34,76518,84640
117011321,Botany,7850,40,70363,81532
117011323,Pagewood - Hillsdale - Daceyville,8248,39,57335,70247
117011324,Port Botany Industrial,13,42,74704,79390
117011325,Sydney Airport,3,28,48082,53695
117011634,Eastlakes,5055,41,51180,62536
117011635,Mascot,14005,32,54485,66019
117021327,Petersham - Stanmore,13025,38,71474,92971
117021328,Sydenham - Tempe - St Peters,5309,38,72318,83927
117021636,Marrickville - North,7459,38,71111,86927
117021637,Marrickville - South,8778,38,63307,78387
117031329,Darlinghurst,7940,37,77084,116796
117031330,Erskineville - Alexandria,13377,36,87640,101943
117031331,Glebe - Forest Lodge,12908,38,70488,97888
117031333,Potts Point - Woolloomooloo,13020,39,77966,123729
117031336,Surry Hills,11377,35,74509,104386
117031638,Camperdown - Darlington,4881,34,67591,86998
117031639,Chippendale,4729,31,47437,74507
117031640,Newtown (NSW),10180,36,72295,90727
117031641,Pyrmont,8985,38,65158,99584
117031642,Redfern,8516,36,70057,93447
117031643,Rosebery - Beaconsfield,7953,34,68972,81491
117031644,Sydney (North) - Millers Point,8137,38,62966,153478
117031645,Sydney (South) - Haymarket,14711,32,35875,61273
117031646,Ultimo,4899,32,41075,59051
117031647,Waterloo,9900,33,68417,80782
117031648,Zetland,7840,32,64176,77924
118011339,Bondi - Tamarama - Bronte,13181,38,76417,140882
118011340,Bondi Beach - North Bondi,14656,36,75695,114826
118011341,Bondi Junction - Waverly,11926,39,72603,115632
118011342,Centennial Park,np,np,np,np
118011344,Dover Heights,7274,45,72627,143163
118011345,Paddington - Moore Park,10405,40,84655,156325
118011346,Rose Bay - Vaucluse - Watsons Bay,8062,49,80031,202212
118011347,Woollahra,5058,47,84677,209607
118011649,Bellevue Hill,9998,45,84072,200348
118011650,Double Bay - Darling Point,7247,46,83322,159705
118021564,Kensington (NSW),7149,37,61742,87729
118021565,Kingsford,8187,39,53759,76561
118021566,Maroubra - North,6489,44,67678,107333
118021567,Maroubra - South,6499,41,64444,92374
118021568,Maroubra - West,6584,40,58503,79998
118021569,Randwick - North,10882,40,77539,111929
118021570,Randwick - South,8427,38,72013,98291
118021651,Coogee - Clovelly,14139,38,82703,121927
118021652,Malabar - La Perouse,5660,46,66864,93313
118021653,Matraville - Chifley,7930,44,60926,80612
118021654,South Coogee,3102,46,71138,126553
119011354,Bass Hill - Georges Hall,10317,41,45954,55796
119011355,Chullora,788,37,55658,67561
119011356,Condell Park,6019,39,45799,56215
119011358,Padstow,9980,43,54688,64516
119011360,Revesby,9646,41,54418,63369
119011361,Yagoona - Birrong,10469,39,45361,53767
119011571,Bankstown - North,8184,37,44021,51688
119011572,Bankstown - South,8714,37,42430,50007
119011655,Greenacre - North,6454,39,43915,56502
119011656,Greenacre - South,5857,39,43470,54796
119011657,Panania (North) - Milperra,6356,42,58901,67642
119011658,Panania (South) - Picnic Point,9244,43,60018,72042
119021362,Belmore - Belfield,10609,41,49248,58792
119021366,Punchbowl,10151,37,42028,50327
119021367,Roselands,7609,42,50265,60724
119021573,Lakemba,7854,37,39413,47030
119021574,Wiley Park,4876,36,39550,46944
119021659,Campsie - North,6662,37,40777,49529
119021660,Campsie - South,4933,36,40490,47315
119021661,Canterbury - South,6781,37,53792,61847
119021662,Earlwood,10448,46,61648,79016
119021663,Kingsgrove - North,3395,43,54653,74170
119031370,Narwee - Beverly Hills,7894,41,49186,60412
119031371,Oatley - Hurstville Grove,8133,47,59174,81853
119031372,Peakhurst - Lugarno,11830,45,57305,73180
119031373,Riverwood,6044,38,44992,52625
119031374,South Hurstville - Blakehurst,16086,40,49928,70961
119031664,Hurstville - Central,8083,32,42753,50823
119031665,Hurstville - North,7502,41,44367,57048
119031666,Mortdale - Oatley,9102,43,59316,79230
119031667,Penshurst,5938,38,51043,59694
119041377,Kingsgrove (South) - Bardwell Park,7729,44,55489,70651
119041378,Kogarah,8111,37,54896,65175
119041379,Kogarah Bay - Carlton - Allawah,9920,41,53147,67006
119041380,Monterey - Brighton-le-Sands - Kyeemagh,8058,44,57331,72785
119041381,Rockdale - Banksia,12777,35,49270,58230
119041382,Sans Souci - Ramsgate,9700,47,59088,76623
119041668,Arncliffe - Bardwell Valley,9403,36,52544,65129
119041669,Bexley - North,5480,42,54146,65034
119041670,Bexley - South,9634,38,50743,60838
119041671,Wolli Creek,7227,32,54732,65236
120011383,Concord - Mortlake - Cabarita,14469,46,65557,92721
120011385,Drummoyne - Rodd Point,11733,46,75127,108907
120011386,Five Dock - Abbotsford,12751,45,71098,97098
120011672,Concord West - North Strathfield,7939,41,61139,77778
120011673,Rhodes,7557,33,56838,70411
120021387,Balmain,10567,47,87932,147434
120021389,Lilyfield - Rozelle,8796,44,88220,120699
120021674,Annandale (NSW),6077,42,79708,112778
120021675,Leichhardt,10840,42,79649,105616
120031392,Canterbury (North) - Ashbury,7388,40,60418,74720
120031393,Croydon Park - Enfield,10065,44,56241,70223
120031394,Dulwich Hill - Lewisham,11247,39,72319,87100
120031395,Haberfield - Summer Hill,8767,43,70670,103492
120031396,Homebush,13816,33,51941,64111
120031576,Strathfield South,2157,42,57764,73061
120031676,Ashfield - North,7718,36,53561,65199
120031677,Ashfield - South,7735,38,54094,72604
120031678,Burwood (NSW),9579,33,40000,57009
120031679,Croydon,6661,43,54756,74209
120031680,Strathfield - East,12139,31,45329,68555
120031681,Strathfield - West,5999,45,61668,99510
121011399,Chatswood (West) - Lane Cove North,13814,41,68928,92133
121011401,St Leonards - Naremburn,8386,39,84528,111676
121011682,Artarmon,6013,41,69890,99998
121011683,Castle Cove - Northbridge,9035,50,75641,166319
121011684,Chatswood - East,12542,41,52063,83127
121011685,Greenwich - Riverview,8973,47,80878,155150
121011686,Lane Cove,10195,42,77072,109411
121011687,Willoughby,7887,46,73385,118630
121021403,Asquith - Mount Colah,13756,44,64006,76555
121021404,Berowra - Brooklyn - Cowan,7563,47,61817,77984
121021406,Normanhurst - Thornleigh - Westleigh,11912,46,64840,84195
121021577,Hornsby - East,7821,39,56701,66858
121021578,Hornsby - West,6458,45,58544,74369
121021579,Wahroonga (West) - Waitara,6984,41,61743,76800
121031407,Gordon - Killara,14825,47,60384,109222
121031408,Lindfield - Roseville,16338,47,68250,125908
121031409,Pymble,11278,47,69135,116437
121031410,St Ives,13772,49,62343,101997
121031411,Turramurra,12917,50,64606,111043
121031412,Wahroonga (East) - Warrawee,11878,49,67477,123703
121041413,Cremorne - Cammeray,13069,45,81765,133187
121041414,Crows Nest - Waverton,12821,40,83821,111489
121041416,Neutral Bay - Kirribilli,12100,41,79701,123773
121041417,North Sydney - Lavender Bay,9285,40,85147,128190
121041688,Mosman - North,9541,49,76383,170784
121041689,Mosman - South,10244,49,80331,177348
122011418,Balgowlah - Clontarf - Seaforth,13490,48,73271,136932
122011419,Manly - Fairlight,16374,41,77750,130726
122021420,Avalon - Palm Beach,8905,52,56676,116441
122021421,Bayview - Elanora Heights,7199,51,59217,96404
122021422,Newport - Bilgola,9408,49,61478,96132
122021690,Mona Vale - Warriewood (North),9447,48,59292,84444
122021691,North Narrabeen - Warriewood (South),6946,45,63033,85019
122031424,Beacon Hill - Narraweena,8736,46,57919,78195
122031425,Cromer,4954,47,58745,79085
122031427,Forestville - Killarney Heights,7935,48,63005,95782
122031429,Freshwater - Brookvale,14959,41,71383,108533
122031430,Manly Vale - Allambie Heights,10898,44,66600,97905
122031432,Terrey Hills - Duffys Forest,2423,50,61222,105278
122031692,Belrose,5388,49,58007,84809
122031693,Collaroy - Collaroy Plateau,9438,45,64217,95760
122031694,Dee Why (South) - North Curl Curl,6095,43,65071,106345
122031695,Dee Why - North,12358,38,60002,72247
122031696,Frenchs Forest - Oxford Falls,10985,47,64781,92608
122031697,Narrabeen - Wheeler Heights,7079,47,59109,80416
123011433,Camden - Ellis Lane,7473,44,62139,76928
123011698,Currans Hill,3664,37,62111,68189
123011699,Elderslie - Narellan,8058,40,62302,74922
123011700,Harrington Park,6752,43,65641,78693
123011701,Mount Annan,11465,41,62302,69047
123011702,Spring Farm,5352,35,69256,72887
123021436,Bradbury - Wedderburn,9934,39,54520,58455
123021437,Campbelltown - Woodbine,11533,38,54464,60247
123021438,Claymore - Eagle Vale - Raby,10948,40,56314,60418
123021439,Holsworthy Military Area,np,np,np,np
123021441,Leumeah - Minto Heights,8916,41,53684,58244
123021443,Minto - St Andrews,11282,39,53291,57917
123021444,Rosemeadow - Glen Alpine,10923,41,55000,61407
123021703,Denham Court - Bardia,7557,36,64049,73770
123021704,Glenfield,5915,39,58495,64760
123021705,Ingleburn,9419,41,54788,60599
123021706,Macquarie Fields,6839,40,50306,54281
123031445,Bargo,3380,44,56030,63327
123031446,Douglas Park - Appin,6333,42,64572,76177
123031447,Picton - Tahmoor - Buxton,10568,42,58279,67794
123031448,The Oaks - Oakdale,5757,43,59130,72826
124011449,Blackheath - Megalong Valley,3246,52,46454,58631
124011450,Blaxland - Warrimoo - Lapstone,11597,46,64834,77724
124011451,Blue Mountains - North,15,56,18953,20168
124011452,Katoomba - Leura,7448,49,46437,60316
124011453,Lawson - Hazelbrook - Linden,6658,46,55097,63548
124011454,Springwood - Winmalee,12916,46,61228,71292
124011455,Wentworth Falls,3538,51,49058,67227
124021456,Blue Mountains - South,np,np,np,np
124031457,Cambridge Park,8717,39,58332,62719
124031459,Emu Plains - Leonay,8169,43,63503,73497
124031460,Glenmore Park - Regentville,13027,41,65666,76073
124031461,Jamisontown - South Penrith,9727,40,59270,64590
124031462,Kingswood - Werrington,12870,37,58551,63594
124031463,Mulgoa - Luddenham - Orchard Hills,7167,41,65932,83203
124031464,Penrith,9228,36,56660,61905
124031465,Warragamba - Silverdale,3602,40,62441,69547
124031707,Cranebrook - Castlereagh,9791,40,61214,68695
124031708,Jordan Springs - Llandilo,7403,36,65433,71709
124041466,Richmond - Clarendon,8376,41,56206,62960
124041467,Windsor - Bligh Park,8765,39,58249,64479
124041468,Yarramundi - Londonderry,3911,44,56596,70026
124051469,Erskine Park,4095,41,61836,68401
124051470,St Clair,11568,41,59020,63156
124051580,Colyton - Oxley Park,6551,39,55131,58241
124051581,St Marys - North St Marys,8583,38,54745,56506
125011475,Rookwood Cemetery,5,52,83172,77432
125011582,Auburn - Central,10439,32,38824,46087
125011583,Auburn - North,6625,31,39571,44283
125011584,Auburn - South,4142,38,41555,49636
125011585,Berala,4705,39,43527,51117
125011586,Lidcombe,13334,36,43794,55299
125011587,Regents Park,2681,39,44166,51918
